"Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escaped.Species","Stage","Age","Average.Weight","Initial.Escape.Reason","Final.Number.Escaped","Final.Number.Recovered","Marine.Scotland.Site.ID","Date.Registered","Site.Name","Local.Authority","Producing.in.Last.3.Years","Site.Post.Code","Health.Surveillance","MS.Management.Area","Species","Total.number.escaped"
2000408,"the scottish salmon company","s",2014-07-24,"16:30","atlantic salmon","broodfish",28,9000,"other - oth",40,0,"fs0051",1994-10-31,"bagh chlann neill (grimsay)","western isles","yes","hs6 5hy","medium","7a - ronay, benbecula, n south uist","lumpsucker, atlantic salmon, wrasse",40
2000270,"loch duart ltd","s",2010-11-09,"12:00","atlantic salmon","grower fish (salmon only)",18,1000,"hole in net - hol",4000,0,"fs0065",1985-08-22,"loch laxford","highland","yes","iv27 4th","low","9b - laxford","wrasse, lumpsucker, atlantic salmon",4000
2000096,"scottish sea farms ltd","s",2003-09-24,"18:00","atlantic salmon","grower fish (salmon only)",30,4500,"human error - hum",1,0,"fs0634",1983-01-01,"loch spelve (a)","argyll and bute","yes",NA,"medium",NA,"atlantic salmon, lumpsucker, wrasse",1
2000524,"the scottish salmon company","f",2020-10-22,"09:00","atlantic salmon","fish weighing more than 5 grams",9,75,"vandalism - van",0,0,"fs0146",1983-01-01,"kinlochmoidart hatchery","highland","yes","ph38 4nd","medium","not in a management area","atlantic salmon",0
2000296,"the scottish salmon company","f",2012-01-18,NA,"atlantic salmon","salmon fresh water stages",11,85,"weather - wth",3180,0,"fs0149",1986-01-01,"loch langavat","western isles","yes","hs3 3jd","low","not in a management area","atlantic salmon",3180
2000373,"kames fish farming ltd.","f",1999-01-18,NA,"rainbow trout","fish weighing more than 5 grams",15,3172,"weather - wth",2000,0,"fs0150",1996-06-11,"loch lochy","highland","yes","ph34 4eq","medium","not in a management area","atlantic salmon",2000
2000293,"scottish sea farms ltd","s",2011-12-25,NA,"atlantic salmon","grower fish (salmon only)",21,2480,"weather - wth",33755,0,"fs0183",1991-09-30,"south sound","shetland","yes","ze1 0tq","medium","4c - n st magnus bay","wrasse, atlantic salmon, lumpsucker",33755
2000001,"marine harvest (scotland) ltd","s",2006-06-25,"13:15","atlantic salmon","grower fish (salmon only)",12,3500,"no actual escape of fish - nes",0,0,"fs0209",1988-12-01,"scallastle","argyll and bute","yes","pa65 6ay","medium","15b - linnhe, firth of lorne, sound of mull and loch sunart","atlantic salmon, wrasse, lumpsucker",0
2000233,"marine harvest (scotland) ltd","s",2009-07-01,"11:00","atlantic salmon","grower fish (salmon only)",15,3500,"human error - hum",1,0,"fs0241",1984-05-31,"kingairloch","highland","yes","ph33 7ae","high","15b - linnhe, firth of lorne, sound of mull and loch sunart","wrasse, lumpsucker, atlantic salmon",1
2000079,"scottish sea farms ltd","s",2004-10-08,"16:40","atlantic salmon","grower fish (salmon only)",12,1900,"human error - hum",200,0,"fs0253",1988-01-01,"loch spelve (b)","argyll and bute","yes","pa37 1sb","medium","16c - loch spelve","lumpsucker, atlantic salmon, wrasse",200
