"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escaped.Species","Stage","Age","Average.Weight","Initial.Escape.Reason","Final.Number.Escaped","Final.Number.Recovered","Marine.Scotland.Site.ID","Date.Registered","Local.Authority","Producing.in.Last.3.Years","Site.Post.Code","Health.Surveillance","MS.Management.Area","Species","Total.number.escaped","year","month","c2","c3","c4","c5","c6","c7"
"abbey st bathans trout farm",2000113,"abbey st. bathans trout farm","f",2002-10-22,"06:00","rainbow trout","fish weighing more than 5 grams",12,200,"flooding - fld",7080000,0,"fs0258",1979-05-14,"scottish borders","yes","td11 3tx","low","not in a management area","rainbow trout",7080000,2002,10,2.153,0.712,1.476958,0.018612382,0.103227598,0.262321478
"aird",2000377,"highland fish farms","s",1998-12-15,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"equipment damage - eqd",10000,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, lumpsucker, atlantic salmon",10000,2011,9,0.798,0.24,0.6384,0.019905806,0.043774048,0.050816523
"aird",2000377,"highland fish farms","s",1998-12-15,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"equipment damage - eqd",10000,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, lumpsucker, atlantic salmon",10000,2009,5,0.657,0.086,0.574875,0.015302787,0.087407723,0.067480805
"aird",2000377,"highland fish farms","s",1998-12-15,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"equipment damage - eqd",10000,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, lumpsucker, atlantic salmon",10000,2020,11,1.074,0.241,0.86457,0.01737226,0.057727969,0.080657646
"aird",2000377,"highland fish farms","s",1998-12-15,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"equipment damage - eqd",10000,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, lumpsucker, atlantic salmon",10000,1998,12,1.31,0.422,1.05848,0.016641652,0.08328429,0.130902984
"aird",2000303,"the scottish salmon company","s",2011-09-29,NA,"atlantic salmon","grower fish (salmon only)",29,3900,"human error - hum",20,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",20,2011,9,0.798,0.24,0.6384,0.019905806,0.043774048,0.050816523
"aird",2000303,"the scottish salmon company","s",2011-09-29,NA,"atlantic salmon","grower fish (salmon only)",29,3900,"human error - hum",20,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",20,2009,5,0.657,0.086,0.574875,0.015302787,0.087407723,0.067480805
"aird",2000303,"the scottish salmon company","s",2011-09-29,NA,"atlantic salmon","grower fish (salmon only)",29,3900,"human error - hum",20,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",20,2020,11,1.074,0.241,0.86457,0.01737226,0.057727969,0.080657646
"aird",2000303,"the scottish salmon company","s",2011-09-29,NA,"atlantic salmon","grower fish (salmon only)",29,3900,"human error - hum",20,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",20,1998,12,1.31,0.422,1.05848,0.016641652,0.08328429,0.130902984
"aird",2000526,"the scottish salmon company","s",2020-11-11,"09:00","atlantic salmon","grower fish (salmon only)",11,1400,"hole in net - hol",0,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",0,2011,9,0.798,0.24,0.6384,0.019905806,0.043774048,0.050816523
"aird",2000526,"the scottish salmon company","s",2020-11-11,"09:00","atlantic salmon","grower fish (salmon only)",11,1400,"hole in net - hol",0,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",0,2009,5,0.657,0.086,0.574875,0.015302787,0.087407723,0.067480805
"aird",2000526,"the scottish salmon company","s",2020-11-11,"09:00","atlantic salmon","grower fish (salmon only)",11,1400,"hole in net - hol",0,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",0,2020,11,1.074,0.241,0.86457,0.01737226,0.057727969,0.080657646
"aird",2000526,"the scottish salmon company","s",2020-11-11,"09:00","atlantic salmon","grower fish (salmon only)",11,1400,"hole in net - hol",0,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",0,1998,12,1.31,0.422,1.05848,0.016641652,0.08328429,0.130902984
"aird",2000371,"highland fish farms","s",1997-08-10,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"vandalism - van",50000,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",50000,2011,9,0.798,0.24,0.6384,0.019905806,0.043774048,0.050816523
"aird",2000371,"highland fish farms","s",1997-08-10,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"vandalism - van",50000,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",50000,2009,5,0.657,0.086,0.574875,0.015302787,0.087407723,0.067480805
"aird",2000371,"highland fish farms","s",1997-08-10,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"vandalism - van",50000,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",50000,2020,11,1.074,0.241,0.86457,0.01737226,0.057727969,0.080657646
"aird",2000371,"highland fish farms","s",1997-08-10,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"vandalism - van",50000,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","atlantic salmon, lumpsucker, wrasse",50000,1998,12,1.31,0.422,1.05848,0.016641652,0.08328429,0.130902984
"aird",2000225,"lighthouse caledonia ltd","s",2009-05-17,NA,"atlantic salmon","grower fish (salmon only)",24,2500,"hole in net - hol",17766,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, atlantic salmon, lumpsucker",17766,2011,9,0.798,0.24,0.6384,0.019905806,0.043774048,0.050816523
"aird",2000225,"lighthouse caledonia ltd","s",2009-05-17,NA,"atlantic salmon","grower fish (salmon only)",24,2500,"hole in net - hol",17766,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, atlantic salmon, lumpsucker",17766,2009,5,0.657,0.086,0.574875,0.015302787,0.087407723,0.067480805
"aird",2000225,"lighthouse caledonia ltd","s",2009-05-17,NA,"atlantic salmon","grower fish (salmon only)",24,2500,"hole in net - hol",17766,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, atlantic salmon, lumpsucker",17766,2020,11,1.074,0.241,0.86457,0.01737226,0.057727969,0.080657646
"aird",2000225,"lighthouse caledonia ltd","s",2009-05-17,NA,"atlantic salmon","grower fish (salmon only)",24,2500,"hole in net - hol",17766,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, atlantic salmon, lumpsucker",17766,1998,12,1.31,0.422,1.05848,0.016641652,0.08328429,0.130902984
"arbhair",2000091,"lewis salmon ltd","s",2004-05-10,"03:00","atlantic salmon","grower fish (salmon only)",18,3452,"equipment damage - eqd",4227,0,"fs0615",1996-06-14,"western isles","no",NA,"not applicable",NA,"wrasse, atlantic salmon",4227,2004,8,1.488,0.448,1.20528,0.01909342,0.073908562,0.13838695
"arbhair",2000091,"lewis salmon ltd","s",2004-05-10,"03:00","atlantic salmon","grower fish (salmon only)",18,3452,"equipment damage - eqd",4227,0,"fs0615",1996-06-14,"western isles","no",NA,"not applicable",NA,"wrasse, atlantic salmon",4227,2004,5,0.522,0.184,0.447354,0.016482975,0.065513913,0.042802376
"arbhair",2000087,"lewis salmon ltd","s",2004-08-11,"11:00","atlantic salmon","grower fish (salmon only)",20,4000,"equipment damage - eqd",10000,0,"fs0615",1996-06-14,"western isles","no",NA,"not applicable",NA,"wrasse, atlantic salmon",10000,2004,8,1.488,0.448,1.20528,0.01909342,0.073908562,0.13838695
