"Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","Site.Name","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species"
2000408,"the scottish salmon company","s",2014-07-24,"16:30","24-Jul-14","nf885558","atlantic salmon","broodfish","28 months","9kg","25-Jul-14","35","other - oth","06-Aug-14","40","0","other - oth","fs0051","31-Oct-94","bagh chlann neill (grimsay)","nf886558","western isles","yes","kallin shorebase","grimsay","north uist","hs6 5hy","01546 602172","fish","seawater","medium",88600,855800,"7a - ronay, benbecula, n south uist","western isles","the scottish salmon company","lumpsucker, atlantic salmon, wrasse"
2000270,"loch duart ltd","s",2010-11-09,"12:00","09-Nov-10",NA,"atlantic salmon","grower fish (salmon only)","18 months","1.0 kg","10-Nov-10","4000","hole in net - hol","06-Dec-10","4,000","0","hole in net - hol","fs0065","22-Aug-85","loch laxford","nc190497","highland","yes","badcall salmon house","scourie, lairg","sutherland","iv27 4th","01971 502451","fish","seawater","low",219000,949700,"9b - laxford","highland","loch duart ltd","wrasse, lumpsucker, atlantic salmon"
2000096,"scottish sea farms ltd","s",2003-09-24,"18:00",NA,"nm677268","atlantic salmon","grower fish (salmon only)","30 months","4.5 kg","11-Dec-03","1","human error - hum","11-Dec-03","1","0","human error - hum","fs0634","01-Jan-83","loch spelve (a)","nm677268","argyll and bute","yes","n/a",NA,NA,NA,NA,"fish","seawater","medium",167700,726800,NA,"strathclyde","scottish sea farms ltd","atlantic salmon, lumpsucker, wrasse"
2000524,"the scottish salmon company","f",2020-10-22,"09:00",NA,NA,"atlantic salmon","fish weighing more than 5 grams","9 months i","75 g","29-Oct-20","20","vandalism - van",NA,NA,NA,NA,"fs0146","01-Jan-83","kinlochmoidart hatchery","nm724718","highland","yes","kinlochmoidart hatchery","kinlochmoidart, lochailort","inverness-shire","ph38 4nd","07909 527265","fish","freshwater","medium",172400,771800,"not in a management area","highland","the scottish salmon company","atlantic salmon"
2000296,"the scottish salmon company","f",2012-01-18,NA,"18-Jan-12","ng047 896","atlantic salmon","salmon fresh water stages","11 months","85 g","19-Jan-12","3,180","weather - wth","10-Feb-12","3,180","0","weather - wth","fs0149","01-Jan-86","loch langavat","ng049889","western isles","yes","isle of harris","n/a","n/a","hs3 3jd","01546 602172","fish","freshwater","low",104900,888900,"not in a management area","western isles","the scottish salmon company","atlantic salmon"
2000373,"kames fish farming ltd.","f",1999-01-18,NA,NA,NA,"rainbow trout","fish weighing more than 5 grams","unknown","unknown",NA,"2000","weather - wth",NA,"2000",NA,"weather - wth","fs0150","11-Jun-96","loch lochy","nn193853","highland","yes","gairlochy","fort william","highland","ph34 4eq","01397 712503","fish","freshwater","medium",219300,785300,"not in a management area","highland","mowi scotland ltd","atlantic salmon"
2000293,"scottish sea farms ltd","s",2011-12-25,NA,"26-Dec-11","hu321696","atlantic salmon","grower fish (salmon only)","21 months","2.48 kg","28-Dec-11","36,000","weather - wth","01-Feb-12","33,755","0","weather - wth","fs0183","30-Sep-91","south sound","hu322698","shetland","yes","c/o blackness pier","scalloway","shetland","ze1 0tq","01595 881002","fish","seawater","medium",432200,1169800,"4c - n st magnus bay","shetland","scottish sea farms ltd","wrasse, atlantic salmon, lumpsucker"
2000001,"marine harvest (scotland) ltd","s",2006-06-25,"13:15",NA,"nm690395","atlantic salmon","grower fish (salmon only)","12 months ","3.5 kg","27-Jun-06","unknown","no actual escape of fish - nes","24-Jul-06","0","0","no actual escape of fish - nes","fs0209","01-Dec-88","scallastle","nm684396","argyll and bute","yes","scallastle bay","garmony","isle of mull","pa65 6ay","07799 608411","fish","seawater","medium",168400,739600,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","scottish sea farms ltd","atlantic salmon, wrasse, lumpsucker"
2000233,"marine harvest (scotland) ltd","s",2009-07-01,"11:00","01-Jul-09","nm852524","atlantic salmon","grower fish (salmon only)","15 months","3.5 kg","01-Jul-09","1","human error - hum","03-Jul-09","1","0","human error - hum","fs0241","31-May-84","kingairloch","nm852525","highland","yes","nr. ardgour","by fort william","n/a","ph33 7ae","07824 370902","fish","seawater","high",185200,752500,"15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon"
2000079,"scottish sea farms ltd","s",2004-10-08,"16:40",NA,"nm689269","atlantic salmon","grower fish (salmon only)","12 months ","1.8-2.0 kg","08-Oct-04","70-200","human error - hum","05-Nov-04","200","0","human error - hum","fs0253","01-Jan-88","loch spelve (b)","nm689269","argyll and bute","yes","south shian","connel","oban, argyll","pa37 1sb","07799 608411","fish","seawater","medium",168900,726900,"16c - loch spelve","strathclyde","scottish sea farms ltd","lumpsucker, atlantic salmon, wrasse"
